VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,01/01/2019 12:00:05 AM,01/01/2019 12:22:32 AM,1,2.47,1,N,90,231,1,15,0.5,0.5,3.26,0,0.3,19.56
2,01/01/2019 12:00:06 AM,01/01/2019 12:27:42 AM,1,13.95,1,N,145,242,1,40,0.5,0.5,9.41,5.76,0.3,56.47
2,01/01/2019 12:00:10 AM,01/01/2019 12:05:25 AM,1,0.85,1,N,142,142,1,5.5,0.5,0.5,2.04,0,0.3,8.84
2,01/01/2019 12:00:29 AM,01/01/2019 12:07:16 AM,1,1.51,1,N,143,50,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,01/01/2019 12:00:35 AM,01/01/2019 12:08:35 AM,1,1.89,1,N,170,79,1,8,0.5,0.5,1.86,0,0.3,11.16
2,01/01/2019 12:00:37 AM,01/01/2019 12:03:22 AM,3,0.6,1,N,234,224,1,4,0.5,0.5,1.32,0,0.3,6.62
2,01/01/2019 12:01:07 AM,01/01/2019 12:10:44 AM,2,0.77,1,N,161,164,2,7.5,0.5,0.5,0,0,0.3,8.8
2,01/01/2019 12:01:41 AM,01/01/2019 12:07:46 AM,1,1.19,1,N,79,224,2,6.5,0.5,0.5,0,0,0.3,7.8
2,01/01/2019 12:01:47 AM,01/01/2019 12:24:57 AM,1,1.83,1,N,161,113,2,14.5,0.5,0.5,0,0,0.3,15.8
2,01/01/2019 12:02:18 AM,01/01/2019 12:05:11 AM,1,0.57,1,N,144,144,1,4,0.5,0.5,1.06,0,0.3,6.36
2,01/01/2019 12:02:55 AM,01/01/2019 12:10:42 AM,1,1.47,1,N,152,42,2,7.5,0.5,0.5,0,0,0.3,8.8
2,01/01/2019 12:03:03 AM,01/01/2019 12:36:19 AM,1,3.69,1,N,43,90,1,21.5,0.5,0.5,4.56,0,0.3,27.36
2,01/01/2019 12:04:05 AM,01/01/2019 12:33:09 AM,1,2.57,1,N,234,246,1,18,0.5,0.5,3.86,0,0.3,23.16
2,01/01/2019 12:04:18 AM,01/01/2019 12:11:09 AM,6,0.88,1,N,249,144,1,6,0.5,0.5,0,0,0.3,7.3
2,01/01/2019 12:04:32 AM,01/01/2019 12:14:54 AM,6,0.93,1,N,164,170,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,01/01/2019 12:04:44 AM,01/01/2019 12:14:40 AM,5,3.2,1,N,262,170,1,11,0.5,0.5,3.69,0,0.3,15.99
2,01/01/2019 12:06:51 AM,01/01/2019 12:14:00 AM,1,1.94,1,N,88,232,2,8,0.5,0.5,0,0,0.3,9.3
2,01/01/2019 12:07:00 AM,01/01/2019 12:27:30 AM,1,3.27,1,N,114,50,1,15.5,0.5,0.5,2,0,0.3,18.8
2,01/01/2019 12:08:37 AM,01/01/2019 12:12:04 AM,5,1,1,N,141,263,2,5,0.5,0.5,0,0,0.3,6.3
2,01/01/2019 12:21:13 AM,01/01/2019 12:39:44 AM,6,2.21,1,N,43,48,1,13,0.5,0.5,2.86,0,0.3,17.16
2,01/01/2019 12:21:16 AM,01/01/2019 12:36:37 AM,1,1.01,1,N,237,161,2,10,0.5,0.5,0,0,0.3,11.3
2,01/01/2019 12:22:41 AM,01/01/2019 12:32:06 AM,2,1.41,1,N,161,140,1,8,0.5,0.5,5,0,0.3,14.3
2,01/01/2019 12:27:46 AM,01/01/2019 12:38:29 AM,2,1.9,1,N,236,238,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,01/01/2019 12:36:58 AM,01/01/2019 12:43:00 AM,2,1.22,1,N,141,262,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,01/01/2019 12:44:31 AM,01/01/2019 12:55:51 AM,2,2,1,N,239,236,1,10,0.5,0.5,2.26,0,0.3,13.56
2,01/01/2019 12:46:49 AM,01/01/2019 12:51:22 AM,2,0.95,1,N,262,237,2,5.5,0.5,0.5,0,0,0.3,6.8
2,01/01/2019 12:59:19 AM,01/01/2019 01:06:13 AM,2,0.83,1,N,229,229,2,6,0.5,0.5,0,0,0.3,7.3
2,01/01/2019 04:01:49 AM,01/01/2019 04:20:05 AM,1,2.61,1,N,161,114,1,13,0,0.5,2.76,0,0.3,16.56
2,01/01/2019 04:36:53 AM,01/01/2019 04:44:12 AM,1,1.75,1,N,233,107,1,8,0,0.5,1.76,0,0.3,10.56
2,01/01/2019 04:49:40 AM,01/01/2019 04:57:28 AM,1,1.22,1,N,137,4,2,7,0,0.5,0,0,0.3,7.8
2,01/01/2019 01:59:16 PM,01/01/2019 02:08:11 PM,6,1.51,1,N,68,233,1,8,0.5,0.5,2,0,0.3,11.3
2,01/01/2019 02:15:09 PM,01/01/2019 02:21:27 PM,6,0.8,1,N,79,148,1,6,0.5,0.5,1.46,0,0.3,8.76
2,01/01/2019 02:26:08 PM,01/01/2019 02:28:36 PM,6,0.72,1,N,148,79,1,4.5,0.5,0.5,1.45,0,0.3,7.25
2,01/01/2019 02:44:59 PM,01/01/2019 09:58:48 PM,6,3.04,1,N,186,141,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,01/02/2019 12:38:17 AM,01/02/2019 01:10:21 AM,1,6.09,1,N,88,112,1,25,0.5,0.5,7.89,0,0.3,34.19
2,01/02/2019 06:34:26 AM,01/02/2019 02:23:44 PM,1,6.36,1,N,236,249,1,31,0,0.5,9.54,0,0.3,41.34
2,01/04/2019 07:07:07 PM,01/04/2019 07:29:00 PM,1,2.13,1,N,4,68,2,14,0.5,0.5,0,0,0.3,15.3
2,01/04/2019 07:43:17 PM,01/05/2019 02:59:57 AM,1,3.18,1,N,234,141,1,13,0.5,0.5,4.29,0,0.3,18.59
2,01/07/2019 10:46:09 PM,01/08/2019 06:05:23 AM,1,1.76,1,N,186,143,1,12.5,0,0.5,2.66,0,0.3,15.96
2,01/08/2019 12:27:41 AM,01/08/2019 12:37:27 AM,2,1.43,1,N,263,229,2,8.5,0,0.5,0,0,0.3,9.3
2,01/08/2019 12:38:28 AM,01/08/2019 12:54:37 AM,2,2.07,1,N,229,186,2,12,0,0.5,0,0,0.3,12.8
2,01/08/2019 12:57:26 AM,01/08/2019 01:18:15 AM,2,2.84,1,N,186,141,1,14.5,0,0.5,3.06,0,0.3,18.36
2,01/08/2019 05:34:33 AM,01/08/2019 05:42:35 AM,1,1.01,1,N,100,50,1,7,0,0.5,1.56,0,0.3,9.36
2,01/08/2019 06:04:05 AM,01/08/2019 06:22:20 AM,1,2.26,1,N,142,246,1,13.5,0,0.5,2.86,0,0.3,17.16
2,01/08/2019 06:24:07 AM,01/08/2019 01:53:33 PM,1,2.52,1,N,246,79,2,18.5,0,0.5,0,0,0.3,19.3
2,01/10/2019 06:22:07 AM,01/10/2019 06:29:06 AM,1,2,1,N,162,236,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,01/10/2019 07:11:34 AM,01/10/2019 02:30:48 PM,1,5.15,1,N,48,13,2,18,0.5,0.5,0,0,0.3,19.3
2,01/12/2019 12:32:19 AM,01/12/2019 08:14:24 AM,1,11.62,1,N,236,200,1,37.5,1,0.5,10.48,2.64,0.3,52.42
2,01/12/2019 01:26:28 PM,01/12/2019 01:33:36 PM,1,1.32,1,N,140,237,1,7,0.5,0.5,1.66,0,0.3,9.96
2,01/12/2019 01:36:49 PM,01/12/2019 01:44:45 PM,1,1.35,1,N,236,262,2,7.5,0.5,0.5,0,0,0.3,8.8
2,01/12/2019 01:49:57 PM,01/12/2019 01:54:07 PM,1,0.79,1,N,262,236,2,5,0.5,0.5,0,0,0.3,6.3
2,01/13/2019 03:01:15 PM,01/13/2019 03:08:10 PM,2,1.05,1,N,114,107,1,6.5,0.5,0.5,1,0,0.3,8.8
2,01/13/2019 03:25:51 PM,01/13/2019 03:40:05 PM,2,3.47,1,N,162,7,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,01/16/2019 03:05:00 PM,01/16/2019 03:59:50 PM,5,16.78,2,N,132,164,1,52,4.5,0.5,11,5.76,0.3,74.06
2,01/18/2019 08:08:37 AM,01/18/2019 08:18:19 AM,1,1.66,1,N,142,237,1,8.5,0,0.5,2.32,0,0.3,11.62
2,01/18/2019 08:20:01 AM,01/18/2019 03:55:31 PM,1,6.06,1,N,237,231,1,25.5,0,0.5,5.26,0,0.3,31.56
2,01/18/2019 09:07:09 AM,01/18/2019 09:32:00 AM,5,8.21,1,N,138,263,1,26.5,1,0.5,8.52,5.76,0.3,42.58
2,01/19/2019 07:51:46 AM,01/19/2019 07:56:40 AM,1,0.69,1,N,237,142,1,5.5,0,0.5,0,0,0.3,6.3
2,01/19/2019 07:58:42 AM,01/19/2019 08:08:37 AM,1,0.99,1,N,142,163,1,7.5,0,0.5,1.66,0,0.3,9.96
2,01/19/2019 08:10:24 AM,01/19/2019 08:16:52 AM,1,0.76,1,N,163,142,1,6,0,0.5,1.36,0,0.3,8.16
2,01/19/2019 08:40:03 AM,01/19/2019 03:55:11 PM,1,1.9,1,N,237,239,1,10.5,0,0.5,1.2,0,0.3,12.5
2,01/19/2019 11:13:20 AM,01/19/2019 11:33:18 AM,1,1.29,1,N,162,100,1,12.5,0,0.5,2.66,0,0.3,15.96
2,01/19/2019 11:46:53 AM,01/19/2019 07:18:23 PM,1,1.73,1,N,186,162,2,18,0,0.5,0,0,0.3,18.8
2,01/20/2019 08:44:46 AM,01/20/2019 04:04:10 PM,5,8.82,1,N,138,141,1,26,0,0.5,8.14,5.76,0.3,40.7
2,01/20/2019 08:44:16 PM,01/20/2019 08:53:07 PM,2,1.24,1,N,114,79,2,7.5,0,0.5,0,0,0.3,8.3
2,01/22/2019 12:02:33 PM,01/22/2019 12:08:29 PM,1,0.72,1,N,4,148,1,5.5,0,0.5,1.13,0,0.3,9.38
2,01/22/2019 10:02:13 PM,01/22/2019 10:13:30 PM,6,2.56,1,N,141,234,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,01/22/2019 10:16:11 PM,01/22/2019 10:19:14 PM,6,0.59,1,N,234,164,2,4.5,0.5,0.5,0,0,0.3,5.8
2,01/22/2019 10:25:16 PM,01/22/2019 10:36:07 PM,6,3.61,1,N,48,24,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,01/22/2019 10:45:42 PM,01/23/2019 06:07:36 AM,1,5.64,1,N,239,231,2,19.5,0.5,0.5,0,0,0.3,20.8
2,01/23/2019 02:30:45 PM,01/23/2019 03:09:58 PM,1,3.75,1,N,249,237,1,23.5,0,0.5,6.08,0,0.3,30.38
2,01/23/2019 03:11:02 PM,01/23/2019 10:30:05 PM,1,1.09,1,N,237,162,1,11.5,0,0.5,2.46,0,0.3,14.76
2,01/26/2019 03:02:46 AM,01/26/2019 03:14:38 AM,1,1.73,1,N,237,230,2,9.5,0.5,0.5,0,0,0.3,10.8
2,01/26/2019 03:16:01 AM,01/26/2019 03:32:02 AM,1,0.8,1,N,230,186,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,01/29/2019 06:08:21 AM,01/29/2019 06:28:14 AM,1,1.53,1,N,143,237,1,12.5,0,0.5,3.99,0,0.3,17.29
2,01/29/2019 06:29:17 AM,01/29/2019 06:45:31 AM,1,1.45,1,N,163,50,1,11,0,0.5,2,0,0.3,13.8
2,01/29/2019 06:57:55 AM,01/29/2019 02:21:19 PM,1,2.61,1,N,239,162,2,15,0,0.5,0,0,0.3,15.8
2,01/29/2019 08:23:12 AM,01/29/2019 08:32:44 AM,2,2.18,1,N,141,74,2,9.5,0,0.5,0,0,0.3,10.3
2,01/29/2019 08:35:47 AM,01/29/2019 09:05:34 AM,2,2.04,1,N,74,41,2,18,0,0.5,0,0,0.3,18.8
2,01/29/2019 09:10:23 AM,01/29/2019 09:16:47 AM,2,1.81,1,N,43,151,2,7.5,0,0.5,0,0,0.3,8.3
2,01/29/2019 01:55:44 PM,01/29/2019 02:08:49 PM,1,1.69,1,N,79,211,1,9.5,0,0.5,3.09,0,0.3,13.39
2,01/29/2019 02:13:01 PM,01/29/2019 02:21:47 PM,1,0.82,1,N,211,144,1,7,0,0.5,1.56,0,0.3,9.36
2,01/31/2019 02:44:28 PM,01/31/2019 03:01:28 PM,1,5.88,1,N,90,146,1,18.5,0.5,0.5,0,0,0.3,19.8
2,02/02/2019 08:51:51 AM,02/02/2019 08:58:07 AM,1,1.62,1,N,246,143,1,7,1,0.5,1,0,0.3,9.8
2,02/02/2019 09:16:07 PM,02/02/2019 09:32:46 PM,1,1.6,1,N,140,162,2,11.5,0.5,0.5,0,0,0.3,12.8
2,02/02/2019 09:52:47 PM,02/03/2019 05:12:52 AM,1,2.18,1,N,140,164,1,13.5,0.5,0.5,1,0,0.3,15.8
2,02/03/2019 11:33:42 PM,02/04/2019 07:09:55 AM,2,18.13,2,N,132,42,1,52,0,0.5,11.71,5.76,0.3,70.27
2,02/06/2019 11:01:28 PM,02/06/2019 11:11:35 PM,5,0.78,1,N,164,230,1,7.5,1,0.5,2.32,0,0.3,11.62
2,02/06/2019 11:13:25 PM,02/06/2019 11:19:19 PM,5,0.76,1,N,48,170,1,6,1,0.5,1.56,0,0.3,9.36
2,02/06/2019 11:34:30 PM,02/06/2019 11:55:43 PM,5,1.95,1,N,161,48,1,14,1,0.5,3.16,0,0.3,18.96
2,02/08/2019 04:09:17 PM,02/08/2019 04:19:28 PM,1,1.65,1,N,211,90,2,9,1,0.5,0,0,0.3,10.8
2,02/08/2019 05:35:27 PM,02/09/2019 12:53:56 AM,5,2.61,1,N,70,129,2,12,1,0.5,0,0,0.3,13.8
2,02/09/2019 07:33:55 PM,02/09/2019 07:38:54 PM,1,0.8,1,N,164,161,1,5.5,0,0.5,1.26,0,0.3,7.56
2,02/09/2019 07:40:19 PM,02/09/2019 07:47:29 PM,1,0.75,1,N,161,163,1,6,0,0.5,1.36,0,0.3,8.16
2,02/10/2019 11:36:02 AM,02/10/2019 11:47:02 AM,1,2.33,1,N,107,232,2,10,0,0.5,0,0,0.3,10.8
2,02/11/2019 04:39:43 AM,02/11/2019 05:00:11 AM,2,8.32,1,N,13,236,1,25.5,0,0.5,2,0,0.3,30.25
2,02/13/2019 06:20:00 AM,02/13/2019 06:29:04 AM,6,1.52,1,N,186,137,1,8,0.5,0.5,1.86,0,0.3,11.16
2,02/13/2019 10:34:52 PM,02/13/2019 10:48:04 PM,1,1.14,1,N,162,142,2,9.5,0,0.5,0,0,0.3,10.3
2,02/13/2019 10:50:16 PM,02/13/2019 11:02:23 PM,1,0.73,1,N,142,142,1,8.5,0,0.5,1.86,0,0.3,11.16
2,02/13/2019 11:06:39 PM,02/13/2019 11:13:37 PM,1,0.74,1,N,142,142,1,6,0,0.5,1.36,0,0.3,8.16
2,02/19/2019 02:54:33 PM,02/19/2019 11:08:12 PM,1,1.39,1,N,229,170,2,9.5,0,0.5,0,0,0.3,10.3
2,02/19/2019 04:25:54 PM,02/19/2019 04:29:27 PM,2,0.62,1,N,238,238,1,4.5,0,0.5,1.06,0,0.3,6.36
2,02/19/2019 04:32:12 PM,02/19/2019 04:35:28 PM,2,0.63,1,N,238,239,1,4.5,0,0.5,1.06,0,0.3,6.36
2,02/19/2019 09:55:07 PM,02/19/2019 10:05:07 PM,1,1.17,1,N,161,186,1,8,0,0.5,2.2,0,0.3,11
2,02/19/2019 10:24:28 PM,02/20/2019 06:41:29 AM,1,1.99,1,N,161,142,2,12,0,0.5,0,0,0.3,12.8
2,02/23/2019 04:13:35 PM,02/23/2019 04:19:34 PM,1,0.86,1,N,48,246,1,6,1,0.5,0,0,0.3,7.8
2,02/23/2019 04:27:08 PM,02/23/2019 04:31:56 PM,1,0.78,1,N,48,68,1,5.5,1,0.5,1.46,0,0.3,8.76
2,02/23/2019 04:38:23 PM,02/23/2019 04:46:14 PM,1,0.91,1,N,100,234,2,6.5,1,0.5,0,0,0.3,8.3
2,02/23/2019 04:48:38 PM,02/23/2019 05:01:14 PM,1,2.04,1,N,107,231,1,10,1,0.5,2.95,0,0.3,14.75
2,02/24/2019 05:27:39 AM,02/24/2019 05:31:59 AM,1,0.36,1,N,234,137,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,02/24/2019 05:57:25 AM,02/24/2019 02:11:37 PM,1,2.21,1,N,137,163,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,02/25/2019 07:15:01 AM,02/25/2019 07:22:26 AM,2,1.48,1,N,42,116,2,7.5,0.5,0.5,0,0,0.3,8.8
2,02/28/2019 07:03:51 AM,02/28/2019 07:13:14 AM,5,1.75,1,N,230,68,2,8,1,0.5,0,0,0.3,9.8
2,02/28/2019 07:41:58 AM,02/28/2019 07:55:33 AM,5,4.33,1,N,186,238,2,15,1,0.5,0,0,0.3,16.8
2,03/01/2019 01:07:25 AM,03/01/2019 09:45:50 AM,2,14.54,1,N,100,51,1,43.5,0.5,0.5,0,0,0.3,44.8
2,03/02/2019 12:21:41 AM,03/02/2019 09:00:42 AM,2,9.75,1,N,161,138,1,34,1,0.5,8,5.76,0.3,49.56
2,03/03/2019 03:08:07 AM,03/03/2019 03:20:33 AM,1,0.92,1,N,161,170,1,8.5,0,0.5,1.86,0,0.3,11.16
2,03/03/2019 03:27:20 AM,03/03/2019 12:01:14 PM,1,6.37,1,N,170,13,1,27,0,0.5,4.5,0,0.3,32.3
2,03/04/2019 12:13:56 AM,03/04/2019 12:32:39 AM,5,11.94,1,N,70,265,2,32.5,0,0.5,0,0,0.3,33.3
2,03/04/2019 12:35:59 PM,03/04/2019 01:07:03 PM,2,5.52,1,N,50,179,1,23,0,0.5,0,0,0.3,23.8
2,03/07/2019 06:25:03 AM,03/07/2019 03:25:31 PM,1,8.66,1,N,163,54,1,38,0,0.5,7.76,0,0.3,46.56
2,03/12/2019 11:12:48 PM,03/12/2019 11:23:38 PM,1,1.1,1,N,137,113,1,8.5,0,0.5,1.86,0,0.3,11.16
2,03/12/2019 11:28:13 PM,03/12/2019 11:34:55 PM,1,0.86,1,N,234,164,1,6,0,0.5,1.7,0,0.3,8.5
2,03/12/2019 11:36:56 PM,03/13/2019 07:16:34 AM,1,5.27,1,N,100,7,2,26.5,0,0.5,0,0,0.3,27.3
2,03/13/2019 06:50:11 AM,03/13/2019 06:55:53 AM,1,1.02,1,N,43,238,1,6,0,0.5,1.36,0,0.3,8.16
2,03/17/2019 01:04:30 AM,03/17/2019 01:10:43 AM,1,1.23,1,N,231,113,1,6.5,1,0.5,1.24,0,0.3,9.54
2,03/17/2019 01:13:50 AM,03/17/2019 01:19:25 AM,1,1.22,1,N,113,249,1,6,0.5,0.5,1.46,0,0.3,8.76
2,03/17/2019 01:26:07 AM,03/17/2019 01:30:28 AM,1,0.7,1,N,113,234,2,5,0.5,0.5,0,0,0.3,6.3
2,03/17/2019 01:38:09 AM,03/17/2019 02:00:03 AM,1,4.24,1,N,170,238,1,17.5,0.5,0.5,4.7,0,0.3,23.5
2,03/21/2019 04:10:59 PM,03/21/2019 04:19:22 PM,5,1.95,1,N,236,75,2,8.5,0.5,0.5,0,0,0.3,9.8
2,03/21/2019 04:24:52 PM,03/21/2019 04:47:01 PM,5,4.49,1,N,236,113,1,18,0.5,0.5,3.86,0,0.3,23.16
2,03/23/2019 09:36:59 AM,03/23/2019 04:58:33 PM,2,8.86,1,N,138,233,1,26.5,1,0.5,6.81,5.76,0.3,40.87
2,03/24/2019 12:02:19 PM,03/24/2019 12:51:00 PM,1,28.12,2,N,13,132,1,52,0,0.5,10,5.76,0.3,68.56
2,03/25/2019 09:37:07 AM,03/25/2019 05:06:31 PM,5,13.24,1,N,70,62,1,38,0.5,0.5,7.86,0,0.3,47.16
2,04/07/2019 09:14:15 AM,04/07/2019 09:24:03 AM,1,1.41,1,N,142,50,2,8,0.5,0.5,0,0,0.3,9.3
2,04/07/2019 09:29:33 AM,04/07/2019 09:35:22 AM,1,1.08,1,N,246,230,1,6,0.5,0.5,1.82,0,0.3,9.12
2,04/07/2019 09:37:57 AM,04/07/2019 09:46:04 AM,1,1.57,1,N,230,234,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,04/07/2019 09:49:57 AM,04/07/2019 10:01:03 AM,1,1.6,1,N,170,229,2,9,0.5,0.5,0,0,0.3,10.3
2,04/13/2019 05:05:15 PM,04/13/2019 05:13:32 PM,2,1.37,1,N,233,137,1,7.5,1,0.5,1.25,0,0.3,10.55
2,04/13/2019 05:14:27 PM,04/13/2019 05:30:21 PM,2,1.9,1,N,137,249,2,11,1,0.5,0,0,0.3,12.8
2,04/13/2019 05:34:44 PM,04/13/2019 05:43:55 PM,2,1.63,1,N,249,261,1,8,1,0.5,2.45,0,0.3,12.25
2,04/13/2019 05:53:44 PM,04/14/2019 12:59:01 AM,2,1.29,1,N,13,87,1,6,1,0.5,1.56,0,0.3,9.36
2,04/19/2019 12:05:57 AM,04/19/2019 12:09:35 AM,1,0.34,1,N,237,237,2,4,1,0.5,0,0,0.3,5.8
2,04/28/2019 05:07:42 PM,04/28/2019 05:10:45 PM,1,0.62,1,N,229,162,1,4.5,0.5,0.5,1.45,0,0.3,7.25
2,05/05/2019 01:10:26 AM,05/05/2019 01:23:21 AM,2,2.38,1,N,87,234,2,10.5,0.5,0.5,0,0,0.3,11.8
2,05/05/2019 01:32:40 AM,05/05/2019 01:39:56 AM,2,1.25,1,N,114,79,1,6.5,0.5,0.5,1.95,0,0.3,9.75
2,05/07/2019 01:21:01 AM,05/07/2019 01:50:19 AM,5,17.51,2,N,132,229,1,52,0,0.5,17.57,5.76,0.3,76.13
2,05/10/2019 07:30:30 AM,05/10/2019 07:52:19 AM,1,3.21,1,N,164,236,1,15.5,1,0.5,2,0,0.3,19.3
2,05/10/2019 07:55:57 AM,05/10/2019 08:06:38 AM,1,1.54,1,N,236,162,1,9,1,0.5,1.5,0,0.3,12.3
2,05/10/2019 08:16:22 AM,05/10/2019 03:28:19 PM,1,1.45,1,N,161,137,1,8.5,1,0.5,2.06,0,0.3,12.36
2,06/28/2019 01:00:08 PM,06/28/2019 01:07:03 PM,1,0.85,1,N,140,237,1,6.5,1,0.5,1,0,0.3,9.3
2,06/28/2019 01:09:08 PM,06/28/2019 01:17:03 PM,1,1.31,1,N,236,239,1,7.5,1,0.5,2.79,0,0.3,12.09
2,06/28/2019 01:26:09 PM,06/28/2019 01:33:02 PM,1,0.88,1,N,238,236,1,6.5,1,0.5,1,0,0.3,9.3
2,06/28/2019 01:42:27 PM,06/28/2019 01:47:51 PM,1,0.71,1,N,262,141,1,5.5,1,0.5,1,0,0.3,8.3
2,06/28/2019 02:21:03 PM,06/28/2019 02:31:02 PM,1,1.48,1,N,237,140,1,8,1,0.5,1.5,0,0.3,11.3
2,06/28/2019 02:35:53 PM,06/28/2019 02:40:22 PM,1,0.42,1,N,262,140,2,4.5,1,0.5,0,0,0.3,6.3
2,06/28/2019 02:54:47 PM,06/28/2019 03:23:19 PM,1,7.47,1,N,237,160,2,26.5,1,0.5,0,0,0.3,28.3
2,06/28/2019 03:51:20 PM,06/28/2019 04:09:29 PM,1,5.11,1,N,148,262,2,18,1,0.5,0,0,0.3,19.8
2,06/28/2019 04:33:22 PM,06/28/2019 04:48:00 PM,1,2.08,1,N,236,162,2,10.5,0.5,0.5,0,0,0.3,11.8
2,06/28/2019 05:06:17 PM,06/28/2019 05:14:13 PM,1,1.3,1,N,234,4,2,7.5,0.5,0.5,0,0,0.3,8.8
2,06/28/2019 05:20:53 PM,06/28/2019 05:30:48 PM,1,1.61,1,N,114,231,2,8.5,0.5,0.5,0,0,0.3,9.8
2,06/28/2019 06:02:30 PM,06/28/2019 06:18:16 PM,1,2.6,1,N,249,261,2,12,0.5,0.5,0,0,0.3,13.3
2,06/28/2019 06:31:15 PM,06/28/2019 06:36:37 PM,1,1.17,1,N,125,68,2,6,0.5,0.5,0,0,0.3,7.3
2,06/28/2019 06:48:49 PM,06/28/2019 07:02:17 PM,1,1.67,1,N,114,224,2,9.5,0.5,0.5,0,0,0.3,10.8
2,06/28/2019 07:07:53 PM,06/28/2019 07:38:18 PM,1,6.2,1,N,79,61,2,24,0.5,0.5,0,0,0.3,25.3
2,09/09/2019 09:44:31 AM,09/09/2019 09:50:15 AM,1,0.94,1,N,211,113,2,5.5,0,0.5,0,0,0.3,6.3
2,09/09/2019 09:44:31 AM,09/09/2019 09:50:15 AM,1,0.94,1,N,211,113,2,5.5,0,0.5,0,0,0.3,6.3
2,09/09/2019 10:19:44 AM,09/09/2019 10:31:26 AM,1,0.93,1,N,162,170,1,8.5,0,0.5,1,0,0.3,10.3
2,09/09/2019 10:19:44 AM,09/09/2019 10:31:26 AM,1,0.93,1,N,162,170,1,8.5,0,0.5,1,0,0.3,10.3
2,09/09/2019 10:42:03 AM,09/09/2019 10:53:56 AM,1,1.96,1,N,237,236,1,9.5,0,0.5,2.06,0,0.3,12.36
2,09/09/2019 10:42:03 AM,09/09/2019 10:53:56 AM,1,1.96,1,N,237,236,1,9.5,0,0.5,2.06,0,0.3,12.36
2,09/09/2019 11:07:13 AM,09/09/2019 11:26:59 AM,1,2.3,1,N,43,170,2,13.5,0,0.5,0,0,0.3,14.3
2,09/09/2019 11:07:13 AM,09/09/2019 11:26:59 AM,1,2.3,1,N,43,170,2,13.5,0,0.5,0,0,0.3,14.3
2,09/09/2019 11:33:53 AM,09/09/2019 03:10:50 PM,1,1.1,1,N,162,141,1,8,0,0.5,1.2,0,0.3,10
2,09/09/2019 11:33:53 AM,09/09/2019 03:10:50 PM,1,1.1,1,N,162,141,1,8,0,0.5,1.2,0,0.3,10
2,11/20/2019 10:10:22 PM,11/20/2019 10:28:11 PM,5,4.32,1,N,264,264,1,16,0.5,0.5,1.7,0,0.3,19
2,11/21/2019 01:53:19 AM,11/21/2019 02:18:39 AM,5,9.44,1,N,264,264,2,31,0.5,0.5,0,0,0.3,32.3
2,11/21/2019 02:58:53 AM,11/21/2019 03:05:19 AM,5,1.13,1,N,264,264,1,6.5,0.5,0.5,0,0,0.3,7.8
2,11/21/2019 03:32:56 AM,11/21/2019 03:36:02 AM,5,0.78,1,N,264,264,1,4.5,0.5,0.5,0,0,0.3,5.8
2,11/21/2019 03:48:17 AM,11/21/2019 03:55:07 AM,5,1.6,1,N,264,264,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,11/21/2019 04:51:09 AM,11/21/2019 04:54:11 AM,1,0,5,N,264,264,2,96,0,0,0,0,0.3,96.3
